FIVN11,Shoppings
BZLI11,Títulos e Val. Mob.
XTED11,Lajes Corporativas
ALMI11,Lajes Corporativas
PABY11,Híbrido
ORPD11,Títulos e Val. Mob.
FISC11,Lajes Corporativas
GAME11,Híbrido
IBFF11,Títulos e Val. Mob.
IBCR11,Títulos e Val. Mob.
IRDM11,Títulos e Val. Mob.
RBRY11,Títulos e Val. Mob.
IRIM11,Híbrido
RBRF11,Títulos e Val. Mob.
CPTS11,Títulos e Val. Mob.
ATSA11,Shoppings
VGIP11,Outros
MCHF11,Títulos e Val. Mob.
MCCI11,Títulos e Val. Mob.
MGHT11,Hotel
GCRI11,Títulos e Val. Mob.
MORE11,Títulos e Val. Mob.
NAVT11,Títulos e Val. Mob.
BRLA11,Híbrido
MGCR11,Títulos e Val. Mob.
TRNT11,Lajes Corporativas
BLCP11,Outros
GCFF11,Títulos e Val. Mob.
ARCT11,Híbrido
RZAK11,Títulos e Val. Mob.
AFHI11,Títulos e Val. Mob.
OULG11,Outros
OUFF11,Títulos e Val. Mob.
OURE11,Títulos e Val. Mob.
SNCI11,Títulos e Val. Mob.
SNFF11,Títulos e Val. Mob.
CORM11,Híbrido
AFOF11,Títulos e Val. Mob.
RECX11,Outros
BLMC11,Outros
BTLG11,Logística
MCHY11,Títulos e Val. Mob.
MATV11,Títulos e Val. Mob.
ERCR11,Híbrido
BPML11,Shoppings
XPML11,Shoppings
FCFL11,Outros
ALZR11,Logística
XPHT11,Hotel
HTMX11,Hotel
CCRF11,Títulos e Val. Mob.
BTAL11,Outros
MORC11,Títulos e Val. Mob.
EQIR11,Títulos e Val. Mob.
FLRP11,Shoppings
CNES11,Lajes Corporativas
EDGA11,Lajes Corporativas
GSFI11,Shoppings
BTRA11,Outros
NVHO11,Hospital
NEWU11,Lajes Corporativas
HCRI11,Hospital
PRSV11,Lajes Corporativas
EVBI11,Híbrido
MFII11,Híbrido
YUFI11B,Residencial
HGFF11,Títulos e Val. Mob.
KINP11,Residencial
KFOF11,Títulos e Val. Mob.
HGPO11,Lajes Corporativas
